#MAP_GROUP;DESTINATION;PRICE_GROUP
Default;INT-NL;BENELUX
Default;INT-FR;EUROPE
Default;INT-ES;EUROPE
Default;INT-LU;BENELUX
Default;INT-IT;EUROPE
Default;INT-CH;EUROPE
Default;INT-AT;EUROPE
Default;INT-UK;EUROPE
Default;INT-DK;EUROPE
Default;INT-SE;EUROPE
Default;INT-NO;EUROPE
Default;INT-PL;EUROPE
Default;INT-DE;EUROPE
Default;NAT-GEO;FIXED
Default;NAT-MOB;MOBILE
Default;NAT-PRS;PREMIUM
Default;NAT-NRS;PREMIUM
Default;NAT-FRS;FREE
